question_num,question,option_a,option_b,option_c,option_d,correct_answer
128,"Відповідно до тлумачень ст. 10 Конвенції про захист прав людини та основоположних свобод Європейським судом з прав людини, яка з названих категорій осіб має найнижчий рівень захисту від критики чи висловлювання оцінок та суджень про неї, які вона вважає критичними?",прокурор міста;,міністр Кабінету міністрів;,звичайний громадянин;,журналіст.,міністр Кабінету міністрів;
129,З якого моменту набуває чинності для України Конвенція про захист прав людини і основоположних свобод (визначте загальний принцип)?,З дати її підписання.,З дати її ратифікації.,З дати депонування ратифікаційної грамоти в Раді Європи.,З дати отримання першої скарги до Європейського Суду з прав людини.,З дати депонування ратифікаційної грамоти в Раді Європи.
130,"Який орган був створений на підставі Факультативного протоколу до Конвенції проти катувань та інших жорстоких, нелюдських або таких, що принижують гідність, видів поводження та покарання?",Комітет проти катувань.,Підкомітет з недопущення катувань.,Комісія з недопущення катувань.,Управління недопущення катувань.,Підкомітет з недопущення катувань.
131,"було порушено кримінальне провадження щодо згаданого вчителя. Заявниця також звернулася до поліції й надала свідчення про епізоди сексуального насильства відносно неї. Відтак заявницю було направлено до безкоштовного психолога, який допоміг їй подолати результати психологічної травми. Слідство було проведено оперативно, учитель, який здійснював домагання, нині відбуває покарання у вигляді позбавлення волі.",Порушено позитивні зобов'язання держави за статтею 3 Конвенції у матеріальному аспекті.,Порушено негативні зобов'язання держави за статтею 3 Конвенції.,Порушено позитивні зобов'язання держави за статтею 3 Конвенції процедурному аспекті.,"Порушено позитивні зобов'язання держави за статтею 3 Конвенції у процедурному, так і в матеріальному аспектах.",Порушено позитивні зобов'язання держави за статтею 3 Конвенції у матеріальному аспекті.
132,Яку умову виправданості втручання в право на повагу до приватного життя порушено державою-відповідачем у справі «S and Marper проти Сполученого Королівства»?,Законність.,Необхідність у демократичному суспільстві.,Наявність легітимної мети.,Якість закону.,Необхідність у демократичному суспільстві.
133,"На якому принципі ґрунтується позиція Європейського суду прав людини про те, що він НЕ є судом четвертої інстанції?",Верховенства права.,Інстанційності судової системи.,Субсидіарності.,Необхідності в демократичному суспільстві.,Субсидіарності.
134,"Які принципи щодо права власності застосував Європейський суд з прав людини у справі «Зеленчук і Цицюра проти України», Nº і Nº 1075/16, 2018 р.?",Субсидіарності та демократизму.,"Володіння, користування та розпорядження майном.","Законності, загального інтересу та пропорційності.",Вільної конкуренції та свободи.,"Законності, загального інтересу та пропорційності."
135,"У рішенні з якої справи Європейський суд з прав людини констатував порушення статті 2 «Право на життя» Конвенції про захист прав людини і основоположних свобод указавши, що дії співробітників британських спецслужб, які призвели до вбивства трьох членів ІРА не можна вважати таким застосуванням сили, яке було «абсолютно необхідним»?",«Гріббен проти Сполученого Королівства».,"«Сьорінг проти Сполученого Королівства»,",«Маккогі та інші проти Сполученого Королівства».,«Маккан та інши проти Сполученого Королівства».,«Маккан та інши проти Сполученого Королівства».
136,"Оберіть варіант, який містить коректне твердження про Африканський механізм захисту прав людини",Африканський механізм захисту прав людини почав функціонувати відразу після Другої світової війни і натепер є найефективнішим регіональним механізмом захисту прав людини,Африканський механізм захисту прав людини складається з Комітету людських прав та Африканської комісії з гендерної рівності,Африканський механізм захисту прав людини розпочав повноцінне функціонування вже у ХХІ столітті,"Африканський механізм захисту прав людини фактично не існує, жодних регіональних документів, спрямованих на захист прав людини, не ухвалено",Африканський механізм захисту прав людини розпочав повноцінне функціонування вже у ХХІ столітті
137,"Які з наведених нижче категорій осіб, відповідно до усталеної практики ЄСПЛ, НЕ користуються захистом статті 10 ЄКПЛ як «сторожові пси» у демократичному суспільстві?",Журналісти інтернет-видань,Академічні дослідники,Представники неурядових організацій,"Прес-секретарі органів державної влади з практикою Європейського суду з прав людини (ЄСПЛ), ""сторожовими демократичного суспільства є журналісти, правозахисники, громадські діячі, науковці та представники неурядових організацій, які активно та захищають права людини, викривають зловживання владою, та","Прес-секретарі органів державної влади з практикою Європейського суду з прав людини (ЄСПЛ), ""сторожовими демократичного суспільства є журналісти, правозахисники, громадські діячі, науковці та представники неурядових організацій, які активно та захищають права людини, викривають зловживання владою, та"
138,"Які умови є визначальними для висновку про те, що конкретне місце проживання особи є «житлом» у розумінні його захисту на підставі ст. 8 ЄКПЛ?","Наявність достатніх та триваючих зв’язків особи із приміщенням, незалежно від законності його зайняття.","Доведений факт законності зайняття особою приміщення, незалежно від тривалості перебування в ньому.","Обґрунтоване припущення законності зайняття особою приміщення, незалежно від тривалості перебування в ньому.","Будь-який зв’язок особи із приміщенням, незалежно від його тривалості та достатності.","Наявність достатніх та триваючих зв’язків особи із приміщенням, незалежно від законності його зайняття."
139,У чому полягає суть свободи розсуду держави згідно з принципами тлумачення ЄСПЛ?,"Національні органи, у першу чергу, повинні враховувати специфіку ратифікованих міжнародних та європейських конвенцій.","Обов’язок застосовувати, тлумачити та конкретизувати норми ЄКПЛ покладаються, у першу чергу, на національні органи.","Враховувати, що Високі Договірні Сторони зобов’язуються виконувати остаточне рішення ЄСПЛ в будь-якій справі, де вони є сторонами.","Враховувати рекомендації Пленуму Верховного Суду щодо вільної оцінки, у першу чергу, допустимості обмеження прав і свобод.","Обов’язок застосовувати, тлумачити та конкретизувати норми ЄКПЛ покладаються, у першу чергу, на національні органи."
140,Яке рішення ухвалив Європейський суд з прав людини у справі «Пічкур проти України»?,Дискримінаційне порушення права на власність.,Порушення права на власність недискримінаційного характеру.,Порушення права на повагу до приватного життя.,"Немає порушення будь-яких прав, гарантованих Конвенцією. не к этому контенту. с владельцем формы Условия использования Политика Эта форма кажется вам подозрительной? Пожаловаться Формы",Дискримінаційне порушення права на власність.
